% Model:              EDL.mph
% Version:            COMSOL 4.4.0.248
% Date:               Nov 6 2016, 17:30
% Dimension:          1
% Nodes:              1448
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         -0.0663059304093081
4.189289780832979E-11     -0.06630613976066234
8.378579561665958E-11     -0.06630676803184075
1.2567869342498936E-10    -0.06630781522284343
1.6757159123331916E-10    -0.06630928133367031
2.0946448904164892E-10    -0.0663111663643214
2.5574492353830083E-10    -0.06631373579519641
3.020253580349527E-10     -0.06631681687555464
3.483057925316046E-10     -0.0663204096053962
3.945862270282565E-10     -0.06632451398472107
4.4086666152490835E-10    -0.06632913001352919
4.919941500333006E-10     -0.06633482443634263
5.431216385416927E-10     -0.06634114433156171
5.942491270500851E-10     -0.06634808969918654
6.453766155584772E-10     -0.06635566053921707
6.965041040668695E-10     -0.06636385685165329
7.529862889122908E-10     -0.06637363913677644
8.094684737577123E-10     -0.06638418694694365
8.659506586031335E-10     -0.06639550028215498
9.22432843448555E-10      -0.06640757914241041
9.789150282939763E-10     -0.06642042352770992
1.0413127193936645E-9     -0.06643550408117756
1.1037104104933525E-9     -0.06645152301682943
1.1661081015930407E-9     -0.06646848033466558
1.228505792692729E-9      -0.06648637603468603
1.290903483792417E-9      -0.06650521011689071
1.3598362248412454E-9     -0.06652710963683205
1.4287689658900735E-9     -0.0665501617153441
1.4977017069389018E-9     -0.06657436635242694
1.5666344479877299E-9     -0.06659972354808055
1.6355671890365582E-9     -0.06662623330230487
1.7117194107681762E-9     -0.06665686300631771
1.7878716324997942E-9     -0.06668891192751776
1.864023854231412E-9      -0.06672238006590503
1.94017607596303E-9       -0.06675726742147953
2.016328297694648E-9      -0.06679357399424121
2.1004561126252937E-9     -0.0668353391683671
2.184583927555939E-9      -0.06687885753379305
2.268711742486584E-9      -0.06692412909051906
2.3528395574172295E-9     -0.06697115383854513
2.4369673723478746E-9     -0.06701993177787124
2.529906082027975E-9      -0.06707586696987955
2.622844791708075E-9      -0.06713397672836226
2.715783501388175E-9      -0.06719426105331942
2.808722211068275E-9      -0.06725671994475105
2.901660920748375E-9      -0.06732135340265707
3.004333310003815E-9      -0.06739530143788389
3.107005699259255E-9      -0.06747196052758812
3.209678088514695E-9      -0.06755133067176985
3.3123504777701346E-9     -0.06763341187042905
3.4150228670255746E-9     -0.06771820412356568
3.5284483659646214E-9     -0.06781505700187507
3.641873864903668E-9      -0.06791531158822176
3.755299363842715E-9      -0.06801896788260584
3.868724862781761E-9      -0.06812602588502731
3.982150361720808E-9      -0.06823648559548609
4.107455167620838E-9      -0.06836251492121034
4.2327599735208685E-9     -0.0684928471532553
4.358064779420899E-9      -0.06862748229162102
4.48336958532093E-9       -0.0687664203363075
4.60867439122096E-9       -0.0689096612873147
4.74710265076309E-9       -0.06907298171106718
4.885530910305219E-9      -0.06924180046620781
5.023959169847349E-9      -0.06941611755273669
5.162387429389479E-9      -0.06959593297065375
5.3008156889316085E-9     -0.069781246719959
5.453741850582991E-9      -0.06999248326450729
5.606668012234374E-9      -0.07021083589645308
